"Visitor ID";"Event position";"Page - with levels";"Visitors"
"016E0A84E6E7387E1394F840965AE42EE110F811";3;"products::accessories::cctv-accessories::junction|ds-1260zj";1
"0176F12AC1068F6185128DF155926C87F6C9F58E";1;"products::access-control-products";1
"017CC9234B1BFF3E29B3D69F58D76186BCA34210";1;"products::ip-products::network-cameras::deepinview-series|ids-2cd7a46g0-p-izhs-y-";1
"017CC9234B1BFF3E29B3D69F58D76186BCA34210";1;"products::ip-products::network-video-recorders::pro-series|ds-7616nxi-k2-16p";1
"017CC9234B1BFF3E29B3D69F58D76186BCA34210";1;"products::ip-products::network-video-recorders::ultra-series|ds-7716ni-m4";1
"017CC9234B1BFF3E29B3D69F58D76186BCA34210";1;"products::transmission::network-switches::pro-series|ds-3t0306hp-e-hs";1
"017CC9234B1BFF3E29B3D69F58D76186BCA34210";2;"products::ip-products::network-cameras::deepinview-series|ids-2cd7a46g0-p-izhs-y-";1
"017CC9234B1BFF3E29B3D69F58D76186BCA34210";2;"products::ip-products::network-video-recorders::pro-series|ds-7616nxi-k2-16p";1
"017CC9234B1BFF3E29B3D69F58D76186BCA34210";2;"products::ip-products::network-video-recorders::ultra-series|ds-7716ni-m4";1
"017CC9234B1BFF3E29B3D69F58D76186BCA34210";3;"products::ip-products::network-video-recorders::ultra-series|ds-9664ni-m8";1
"017CC9234B1BFF3E29B3D69F58D76186BCA34210";4;"products::ip-products::network-video-recorders::ultra-series|ds-9664ni-m8";1
"01839E730B7C9FE097139868C1B75F92B2ADCC97";1;"home";1
"01839E730B7C9FE097139868C1B75F92B2ADCC97";2;"home";1
"01839E730B7C9FE097139868C1B75F92B2ADCC97";3;"home";1
"01897FB654FFFE1AA9E8DFCA73ACCF2FACAAF402";1;"products::transmission::network-switches::value-series|ds-3e0105p-e-m-b-";1
"01897FB654FFFE1AA9E8DFCA73ACCF2FACAAF402";1;"products::turbo-hd-products::dvr::value-series|ids-7108hqhi-m1-s";1
"01897FB654FFFE1AA9E8DFCA73ACCF2FACAAF402";2;"products::transmission::network-switches::value-series|ds-3e0105p-e-m-b-";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";1;"home";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";2;"home";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";3;"products::ip-products::network-cameras::wi-fi-series";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";4;"products::ip-products::network-cameras::wi-fi-series";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";5;"products::onboard-security";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";6;"products::software::hik-connect::personal-mode";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";7;"products::software::hikcentral-professional-series::hikcentral-access-control";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";8;"products::software::hikcentral-professional-series::hikcentral-access-control";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";9;"products::software::hikcentral-professional-series::hikcentral-access-control";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";10;"support::download::software::hikcentral-access-control-v2-1";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";11;"support::download::software::hikcentral-access-control-v2-1";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";12;"support::download::software::hikcentral-access-control-v2-1";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";13;"products::software";1
